"c4.2xlarge",0.454,"8","15 GiB","Linux","EBS only","High"
"c4.2xlarge",0.822,"8","15 GiB","Windows","EBS only","High"
"c4.4xlarge",0.907,"16","30 GiB","Linux","EBS only","High"
"c4.4xlarge",1.643,"16","30 GiB","Windows","EBS only","High"
"c4.8xlarge",1.815,"36","60 GiB","Linux","EBS only","10 Gigabit"
"c4.8xlarge",3.471,"36","60 GiB","Windows","EBS only","10 Gigabit"
"c4.large",0.114,"2","3.75 GiB","Linux","EBS only","Moderate"
"c4.large",0.206,"2","3.75 GiB","Windows","EBS only","Moderate"
"c4.xlarge",0.227,"4","7.5 GiB","Linux","EBS only","High"
"c4.xlarge",0.411,"4","7.5 GiB","Windows","EBS only","High"
"c5.12xlarge",2.304,"48","96 GiB","Linux","EBS only","12 Gigabit"
"c5.12xlarge",4.512,"48","96 GiB","Windows","EBS only","12 Gigabit"
"c5.18xlarge",3.456,"72","144 GiB","Linux","EBS only","25 Gigabit"
"c5.18xlarge",6.768,"72","144 GiB","Windows","EBS only","25 Gigabit"
"c5.24xlarge",4.608,"96","192 GiB","Linux","EBS only","25 Gigabit"
"c5.24xlarge",9.024,"96","192 GiB","Windows","EBS only","25 Gigabit"
"c5.2xlarge",0.384,"8","16 GiB","Linux","EBS only","Up to 10 Gigabit"
"c5.2xlarge",0.752,"8","16 GiB","Windows","EBS only","Up to 10 Gigabit"
"c5.4xlarge",0.768,"16","32 GiB","Linux","EBS only","Up to 10 Gigabit"
"c5.4xlarge",1.504,"16","32 GiB","Windows","EBS only","Up to 10 Gigabit"
"c5.9xlarge",1.728,"36","72 GiB","Linux","EBS only","10 Gigabit"
"c5.9xlarge",3.384,"36","72 GiB","Windows","EBS only","10 Gigabit"
"c5.large",0.096,"2","4 GiB","Linux","EBS only","Up to 10 Gigabit"
"c5.large",0.188,"2","4 GiB","Windows","EBS only","Up to 10 Gigabit"
"c5.metal",4.608,"96","192 GiB","Linux","EBS only","25 Gigabit"
"c5.metal",9.024,"96","192 GiB","Windows","EBS only","25 Gigabit"
"c5.xlarge",0.192,"4","8 GiB","Linux","EBS only","Up to 10 Gigabit"
"c5.xlarge",0.376,"4","8 GiB","Windows","EBS only","Up to 10 Gigabit"
"c5a.12xlarge",2.064,"48","96 GiB","Linux","EBS only","12 Gigabit"
"c5a.12xlarge",4.272,"48","96 GiB","Windows","EBS only","12 Gigabit"
"c5a.16xlarge",2.752,"64","128 GiB","Linux","EBS only","20 Gigabit"
"c5a.16xlarge",5.696,"64","128 GiB","Windows","EBS only","20 Gigabit"
"c5a.24xlarge",4.128,"96","192 GiB","Linux","EBS only","20 Gigabit"
"c5a.24xlarge",8.544,"96","192 GiB","Windows","EBS only","20 Gigabit"
"c5a.2xlarge",0.344,"8","16 GiB","Linux","EBS only","Up to 10 Gigabit"
"c5a.2xlarge",0.712,"8","16 GiB","Windows","EBS only","Up to 10 Gigabit"
"c5a.4xlarge",0.688,"16","32 GiB","Linux","EBS only","Up to 10 Gigabit"
"c5a.4xlarge",1.424,"16","32 GiB","Windows","EBS only","Up to 10 Gigabit"
"c5a.8xlarge",1.376,"32","64 GiB","Linux","EBS only","10 Gigabit"
"c5a.8xlarge",2.848,"32","64 GiB","Windows","EBS only","10 Gigabit"
"c5a.large",0.086,"2","4 GiB","Linux","EBS only","Up to 10 Gigabit"
"c5a.large",0.178,"2","4 GiB","Windows","EBS only","Up to 10 Gigabit"
"c5a.xlarge",0.172,"4","8 GiB","Linux","EBS only","Up to 10 Gigabit"
"c5a.xlarge",0.356,"4","8 GiB","Windows","EBS only","Up to 10 Gigabit"
"c5d.12xlarge",2.64,"48","96 GiB","Linux","2 x 900 NVMe SSD","12 Gigabit"
"c5d.12xlarge",4.848,"48","96 GiB","Windows","2 x 900 NVMe SSD","12 Gigabit"
"c5d.18xlarge",3.96,"72","144 GiB","Linux","2 x 900 NVMe SSD","25 Gigabit"
"c5d.18xlarge",7.272,"72","144 GiB","Windows","2 x 900 NVMe SSD","25 Gigabit"
"c5d.24xlarge",5.28,"96","192 GiB","Linux","4 x 900 NVMe SSD","25 Gigabit"
"c5d.24xlarge",9.696,"96","192 GiB","Windows","4 x 900 NVMe SSD","25 Gigabit"
"c5d.2xlarge",0.44,"8","16 GiB","Linux","1 x 200 NVMe SSD","Up to 10 Gigabit"
"c5d.2xlarge",0.808,"8","16 GiB","Windows","1 x 200 NVMe SSD","Up to 10 Gigabit"
"c5d.4xlarge",0.88,"16","32 GiB","Linux","1 x 400 NVMe SSD","Up to 10 Gigabit"
"c5d.4xlarge",1.616,"16","32 GiB","Windows","1 x 400 NVMe SSD","Up to 10 Gigabit"
"c5d.9xlarge",1.98,"36","72 GiB","Linux","1 x 900 NVMe SSD","10 Gigabit"
"c5d.9xlarge",3.636,"36","72 GiB","Windows","1 x 900 NVMe SSD","10 Gigabit"
"c5d.large",0.11,"2","4 GiB","Linux","1 x 50 NVMe SSD","Up to 10 Gigabit"
"c5d.large",0.202,"2","4 GiB","Windows","1 x 50 NVMe SSD","Up to 10 Gigabit"
"c5d.metal",5.28,"96","192 GiB","Linux","4 x 900 NVMe SSD","25 Gigabit"
"c5d.metal",9.696,"96","192 GiB","Windows","4 x 900 NVMe SSD","25 Gigabit"
"c5d.xlarge",0.22,"4","8 GiB","Linux","1 x 100 NVMe SSD","Up to 10 Gigabit"
"c5d.xlarge",0.404,"4","8 GiB","Windows","1 x 100 NVMe SSD","Up to 10 Gigabit"
"c5n.18xlarge",4.392,"72","192 GiB","Linux","EBS only","100 Gigabit"
"c5n.18xlarge",7.704,"72","192 GiB","Windows","EBS only","100 Gigabit"
"c5n.2xlarge",0.488,"8","21 GiB","Linux","EBS only","Up to 25 Gigabit"
"c5n.2xlarge",0.856,"8","21 GiB","Windows","EBS only","Up to 25 Gigabit"
"c5n.4xlarge",0.976,"16","42 GiB","Linux","EBS only","Up to 25 Gigabit"
"c5n.4xlarge",1.712,"16","42 GiB","Windows","EBS only","Up to 25 Gigabit"
"c5n.9xlarge",2.196,"36","96 GiB","Linux","EBS only","50 Gigabit"
"c5n.9xlarge",3.852,"36","96 GiB","Windows","EBS only","50 Gigabit"
"c5n.large",0.122,"2","5.25 GiB","Linux","EBS only","Up to 25 Gigabit"
"c5n.large",0.214,"2","5.25 GiB","Windows","EBS only","Up to 25 Gigabit"
"c5n.metal",4.392,"72","192 GiB","Linux","EBS only","100 Gigabit"
"c5n.metal",7.704,"72","192 GiB","Windows","EBS only","100 Gigabit"
"c5n.xlarge",0.244,"4","10.5 GiB","Linux","EBS only","Up to 25 Gigabit"
"c5n.xlarge",0.428,"4","10.5 GiB","Windows","EBS only","Up to 25 Gigabit"
"c6g.12xlarge",1.848,"48","96 GiB","Linux","EBS only","20 Gigabit"
"c6g.16xlarge",2.464,"64","128 GiB","Linux","EBS only","25 Gigabit"
"c6g.2xlarge",0.308,"8","16 GiB","Linux","EBS only","Up to 10 Gigabit"
"c6g.4xlarge",0.616,"16","32 GiB","Linux","EBS only","Up to 10 Gigabit"
"c6g.8xlarge",1.232,"32","64 GiB","Linux","EBS only","Up to 10 Gigabit"
"c6g.large",0.077,"2","4 GiB","Linux","EBS only","Up to 10 Gigabit"
"c6g.medium",0.0385,"1","2 GiB","Linux","EBS only","Up to 10 Gigabit"
"c6g.metal",2.464,"64","128 GiB","Linux","EBS only","25 Gigabit"
"c6g.xlarge",0.154,"4","8 GiB","Linux","EBS only","Up to 10 Gigabit"
"c6gd.12xlarge",2.112,"48","96 GiB","Linux","2 x 1425 NVMe SSD","20 Gigabit"
"c6gd.16xlarge",2.816,"64","128 GiB","Linux","2 x 1900 NVMe SSD","25 Gigabit"
"c6gd.2xlarge",0.352,"8","16 GiB","Linux","1 x 475 NVMe SSD","Up to 10 Gigabit"
"c6gd.4xlarge",0.704,"16","32 GiB","Linux","1 x 950 NVMe SSD","Up to 10 Gigabit"
"c6gd.8xlarge",1.408,"32","64 GiB","Linux","1 x 1900 NVMe SSD","10 Gigabit"
"c6gd.large",0.088,"2","4 GiB","Linux","1 x 118 NVMe SSD","Up to 10 Gigabit"
"c6gd.medium",0.044,"1","2 GiB","Linux","1 x 59 NVMe SSD","Up to 10 Gigabit"
"c6gd.metal",2.816,"64","128 GiB","Linux","2 x 1900 NVMe SSD","25 Gigabit"
"c6gd.xlarge",0.176,"4","8 GiB","Linux","1 x 237 NVMe SSD","Up to 10 Gigabit"
"c6gn.12xlarge",2.34,"48","96 GiB","Linux","EBS only","75 Gigabit"
"c6gn.16xlarge",3.12,"64","128 GiB","Linux","EBS only","100 Gigabit"
"c6gn.2xlarge",0.39,"8","16 GiB","Linux","EBS only","Up to 25 Gigabit"
"c6gn.4xlarge",0.78,"16","32 GiB","Linux","EBS only","25 Gigabit"
"c6gn.8xlarge",1.56,"32","64 GiB","Linux","EBS only","50 Gigabit"
"c6gn.large",0.0975,"2","4 GiB","Linux","EBS only","Up to 25 Gigabit"
"c6gn.medium",0.04875,"1","2 GiB","Linux","EBS only","Up to 25 Gigabit"
"c6gn.xlarge",0.195,"4","8 GiB","Linux","EBS only","Up to 25 Gigabit"
"c6i.12xlarge",2.304,"48","96 GiB","Linux","EBS only","18750 Megabit"
"c6i.12xlarge",4.512,"48","96 GiB","Windows","EBS only","18750 Megabit"
"c6i.16xlarge",3.072,"64","128 GiB","Linux","EBS only","25000 Megabit"
"c6i.16xlarge",6.016,"64","128 GiB","Windows","EBS only","25000 Megabit"
"c6i.24xlarge",4.608,"96","192 GiB","Linux","EBS only","37500 Megabit"
"c6i.24xlarge",9.024,"96","192 GiB","Windows","EBS only","37500 Megabit"
"c6i.2xlarge",0.384,"8","16 GiB","Linux","EBS only","Up to 12500 Megabit"
"c6i.2xlarge",0.752,"8","16 GiB","Windows","EBS only","Up to 12500 Megabit"
"c6i.32xlarge",6.144,"128","256 GiB","Linux","EBS only","50000 Megabit"
"c6i.32xlarge",12.032,"128","256 GiB","Windows","EBS only","50000 Megabit"
"c6i.4xlarge",0.768,"16","32 GiB","Linux","EBS only","Up to 12500 Megabit"
"c6i.4xlarge",1.504,"16","32 GiB","Windows","EBS only","Up to 12500 Megabit"
"c6i.8xlarge",1.536,"32","64 GiB","Linux","EBS only","12500 Megabit"
"c6i.8xlarge",3.008,"32","64 GiB","Windows","EBS only","12500 Megabit"
"c6i.large",0.096,"2","4 GiB","Linux","EBS only","Up to 12500 Megabit"
"c6i.large",0.188,"2","4 GiB","Windows","EBS only","Up to 12500 Megabit"
"c6i.metal",6.144,"128","256 GiB","Linux","EBS only","50000 Megabit"
"c6i.metal",12.032,"128","256 GiB","Windows","EBS only","50000 Megabit"
"c6i.xlarge",0.192,"4","8 GiB","Linux","EBS only","Up to 12500 Megabit"
"c6i.xlarge",0.376,"4","8 GiB","Windows","EBS only","Up to 12500 Megabit"
"d2.2xlarge",1.688,"8","61 GiB","Linux","6 x 2000 HDD","High"
"d2.2xlarge",2.056,"8","61 GiB","Windows","6 x 2000 HDD","High"
"d2.4xlarge",3.376,"16","122 GiB","Linux","12 x 2000 HDD","High"
"d2.4xlarge",4.112,"16","122 GiB","Windows","12 x 2000 HDD","High"
"d2.8xlarge",6.752,"36","244 GiB","Linux","24 x 2000 HDD","10 Gigabit"
"d2.8xlarge",8.408,"36","244 GiB","Windows","24 x 2000 HDD","10 Gigabit"
"d2.xlarge",0.844,"4","30.5 GiB","Linux","3 x 2000 HDD","Moderate"
"d2.xlarge",1.028,"4","30.5 GiB","Windows","3 x 2000 HDD","Moderate"
"g3.16xlarge",5.68,"64","488 GiB","Linux","EBS only","20 Gigabit"
"g3.16xlarge",8.624,"64","488 GiB","Windows","EBS only","20 Gigabit"
"g3.4xlarge",1.42,"16","122 GiB","Linux","EBS only","Up to 10 Gigabit"
"g3.4xlarge",2.156,"16","122 GiB","Windows","EBS only","Up to 10 Gigabit"
"g3.8xlarge",2.84,"32","244 GiB","Linux","EBS only","10 Gigabit"
"g3.8xlarge",4.312,"32","244 GiB","Windows","EBS only","10 Gigabit"
"g3s.xlarge",0.934,"4","30.5 GiB","Linux","EBS only","10 Gigabit"
"g3s.xlarge",1.118,"4","30.5 GiB","Windows","EBS only","10 Gigabit"
"g4dn.12xlarge",4.812,"48","192 GiB","Linux","900 GB NVMe SSD","50 Gigabit"
"g4dn.12xlarge",7.02,"48","192 GiB","Windows","900 GB NVMe SSD","50 Gigabit"
"g4dn.16xlarge",5.353,"64","256 GiB","Linux","900 GB NVMe SSD","50 Gigabit"
"g4dn.16xlarge",8.297,"64","256 GiB","Windows","900 GB NVMe SSD","50 Gigabit"
"g4dn.2xlarge",0.925,"8","32 GiB","Linux","225 GB NVMe SSD","Up to 25 Gigabit"
"g4dn.2xlarge",1.293,"8","32 GiB","Windows","225 GB NVMe SSD","Up to 25 Gigabit"
"g4dn.4xlarge",1.481,"16","64 GiB","Linux","225 GB NVMe SSD","Up to 25 Gigabit"
"g4dn.4xlarge",2.217,"16","64 GiB","Windows","225 GB NVMe SSD","Up to 25 Gigabit"
"g4dn.8xlarge",2.677,"32","128 GiB","Linux","900 GB NVMe SSD","50 Gigabit"
"g4dn.8xlarge",4.149,"32","128 GiB","Windows","900 GB NVMe SSD","50 Gigabit"
"g4dn.metal",9.624,"96","384 GiB","Linux","2 x 900 GB NVMe SSD","100 Gigabit"
"g4dn.metal",14.04,"96","384 GiB","Windows","2 x 900 GB NVMe SSD","100 Gigabit"
"g4dn.xlarge",0.647,"4","16 GiB","Linux","125 GB NVMe SSD","Up to 25 Gigabit"
"g4dn.xlarge",0.831,"4","16 GiB","Windows","125 GB NVMe SSD","Up to 25 Gigabit"
"g5g.16xlarge",3.3752,"64","128 GiB","Linux","EBS only","25 Gigabit"
"g5g.2xlarge",0.6839,"8","16 GiB","Linux","EBS only","Up to 10 Gigabit"
"g5g.4xlarge",1.0185,"16","32 GiB","Linux","EBS only","Up to 10 Gigabit"
"g5g.8xlarge",1.6876,"32","64 GiB","Linux","EBS only","Up to 12 Gigabit"
"g5g.metal",3.3752,"64","128 GiB","Linux","EBS only","25 Gigabit"
"g5g.xlarge",0.5166,"4","8 GiB","Linux","EBS only","Up to 10 Gigabit"
"i3.16xlarge",5.856,"64","488 GiB","Linux","8 x 1900 NVMe SSD","20 Gigabit"
"i3.16xlarge",8.8,"64","488 GiB","Windows","8 x 1900 NVMe SSD","20 Gigabit"
"i3.2xlarge",0.732,"8","61 GiB","Linux","1 x 1900 NVMe SSD","Up to 10 Gigabit"
"i3.2xlarge",1.1,"8","61 GiB","Windows","1 x 1900 NVMe SSD","Up to 10 Gigabit"
"i3.4xlarge",1.464,"16","122 GiB","Linux","2 x 1900 NVMe SSD","Up to 10 Gigabit"
"i3.4xlarge",2.2,"16","122 GiB","Windows","2 x 1900 NVMe SSD","Up to 10 Gigabit"
"i3.8xlarge",2.928,"32","244 GiB","Linux","4 x 1900 NVMe SSD","10 Gigabit"
"i3.8xlarge",4.4,"32","244 GiB","Windows","4 x 1900 NVMe SSD","10 Gigabit"
"i3.large",0.183,"2","15.25 GiB","Linux","1 x 475 NVMe SSD","Up to 10 Gigabit"
"i3.large",0.275,"2","15.25 GiB","Windows","1 x 475 NVMe SSD","Up to 10 Gigabit"
"i3.metal",5.856,"72","512 GiB","Linux","8 x 1900 NVMe SSD","25 Gigabit"
"i3.metal",8.8,"72","512 GiB","Windows","8 x 1900 NVMe SSD","25 Gigabit"
"i3.xlarge",0.366,"4","30.5 GiB","Linux","1 x 950 NVMe SSD","Up to 10 Gigabit"
"i3.xlarge",0.55,"4","30.5 GiB","Windows","1 x 950 NVMe SSD","Up to 10 Gigabit"
"i3en.12xlarge",6.384,"48","384 GiB","Linux","4 x 7500 NVMe SSD","50 Gigabit"
"i3en.12xlarge",8.592,"48","384 GiB","Windows","4 x 7500 NVMe SSD","50 Gigabit"
"i3en.24xlarge",12.768,"96","768 GiB","Linux","8 x 7500 NVMe SSD","100 Gigabit"
"i3en.24xlarge",17.184,"96","768 GiB","Windows","8 x 7500 NVMe SSD","100 Gigabit"
"i3en.2xlarge",1.064,"8","64 GiB","Linux","2 x 2500 NVMe SSD","Up to 25 Gigabit"
"i3en.2xlarge",1.432,"8","64 GiB","Windows","2 x 2500 NVMe SSD","Up to 25 Gigabit"
"i3en.3xlarge",1.596,"12","96 GiB","Linux","1 x 7500 NVMe SSD","Up to 25 Gigabit"
"i3en.3xlarge",2.148,"12","96 GiB","Windows","1 x 7500 NVMe SSD","Up to 25 Gigabit"
"i3en.6xlarge",3.192,"24","192 GiB","Linux","2 x 7500 NVMe SSD","25 Gigabit"
"i3en.6xlarge",4.296,"24","192 GiB","Windows","2 x 7500 NVMe SSD","25 Gigabit"
"i3en.large",0.266,"2","16 GiB","Linux","1 x 1250 NVMe SSD","Up to 25 Gigabit"
"i3en.large",0.358,"2","16 GiB","Windows","1 x 1250 NVMe SSD","Up to 25 Gigabit"
"i3en.metal",12.768,"96","768 GiB","Linux","8 x 7500 NVMe SSD","100 Gigabit"
"i3en.metal",17.184,"96","768 GiB","Windows","8 x 7500 NVMe SSD","100 Gigabit"
"i3en.xlarge",0.532,"4","32 GiB","Linux","1 x 2500 NVMe SSD","Up to 25 Gigabit"
"i3en.xlarge",0.716,"4","32 GiB","Windows","1 x 2500 NVMe SSD","Up to 25 Gigabit"
"inf1.24xlarge",5.812,"96","192 GiB","Linux","EBS only","100 Gigabit"
"inf1.2xlarge",0.446,"8","16 GiB","Linux","EBS only","Up to 25 Gigabit"
"inf1.6xlarge",1.453,"24","48 GiB","Linux","EBS only","25 Gigabit"
"inf1.xlarge",0.281,"4","8 GiB","Linux","EBS only","Up to 25 Gigabit"
"m4.10xlarge",2.46,"40","160 GiB","Linux","EBS only","10 Gigabit"
"m4.10xlarge",4.3,"40","160 GiB","Windows","EBS only","10 Gigabit"
"m4.16xlarge",3.936,"64","256 GiB","Linux","EBS only","20 Gigabit"
"m4.16xlarge",6.88,"64","256 GiB","Windows","EBS only","20 Gigabit"
"m4.2xlarge",0.492,"8","32 GiB","Linux","EBS only","High"
"m4.2xlarge",0.86,"8","32 GiB","Windows","EBS only","High"
"m4.4xlarge",0.984,"16","64 GiB","Linux","EBS only","High"
"m4.4xlarge",1.72,"16","64 GiB","Windows","EBS only","High"
"m4.large",0.123,"2","8 GiB","Linux","EBS only","Moderate"
